DATA_BASE;DIST;ITEM;Próprio_Distribuidor;Diferente_Próprio_Distribuidor;Total
31/12/2023;405;REDE BT                           ;14888.610828;3035.843717;17924.454545
31/12/2024;405;REDE BT                           ;15529.098045;3029.838728;18558.936773
31/12/2020;5216;REDE BT                           ;9475.98215;32.273118;9508.255268
31/12/2021;5216;REDE BT                           ;9793.814223;54.764635;9848.578858
31/12/2022;5216;REDE BT                           ;9860.851146;69.699967;9930.551113
31/12/2023;5216;REDE BT                           ;10332.13747;60.67656;10392.81403
31/12/2024;5216;REDE BT                           ;10579.214937;64.866147;10644.081084
31/12/2020;6585;REDE BT                           ;4194.558227;10.719417;4205.277644
31/12/2021;6585;REDE BT                           ;4216.045569;11.498698;4227.544267
31/12/2022;6585;REDE BT                           ;5111.705104;6.910651;5118.615755
31/12/2023;6585;REDE BT                           ;5165.498436;3.883424;5169.38186
31/12/2024;6585;REDE BT                           ;5193.385035;5.568;5198.953035
31/12/2020;6587;REDE BT                           ;8080.766285;245.855548;8326.621833
31/12/2021;6587;REDE BT                           ;8179.299425;245.307016;8424.606441
31/12/2022;6587;REDE BT                           ;8281.186624;241.639046;8522.82567
31/12/2023;6587;REDE BT                           ;8407.946772;241.079204;8649.025976
31/12/2024;6587;REDE BT                           ;8518.30867;251.58207;8769.89074
31/12/2020;6600;REDE BT                           ;34346.190824;240.968673;34587.159497
31/12/2021;6600;REDE BT                           ;34463.863603;235.99852;34699.862123
31/12/2022;6600;REDE BT                           ;34730.884512;235.379728;34966.26424
31/12/2023;6600;REDE BT                           ;38152.680824;443.722846;38596.40367
31/12/2024;6600;REDE BT                           ;38359.187304;425.011808;38784.199112
31/12/2020;6611;REDE BT                           ;3378.772279;47.363319;3426.135598
31/12/2021;6611;REDE BT                           ;3390.571534;53.030851;3443.602385
31/12/2022;6611;REDE BT                           ;3412.7452;53.744344;3466.489544
31/12/2020;6612;REDE BT                           ;861.164658;0.63056;861.795218
31/12/2021;6612;REDE BT                           ;862.378747;0.972775;863.351522
31/12/2020;26;REDE BT AEREA                     ;3106.510875;31.578502;3138.089377
31/12/2021;26;REDE BT AEREA                     ;3083.63597;111.240697;3194.876667
31/12/2022;26;REDE BT AEREA                     ;3167.047451;110.671191;3277.718642
31/12/2023;26;REDE BT AEREA                     ;3219.142658;134.485761;3353.628419
31/12/2024;26;REDE BT AEREA                     ;3283.120841;133.483539;3416.60438
31/12/2020;32;REDE BT AEREA                     ;11782.270075;2.018376;11784.288451
31/12/2021;32;REDE BT AEREA                     ;11743.764598;2.661567;11746.426165
31/12/2022;32;REDE BT AEREA                     ;11871.098639;2.666105;11873.764744
31/12/2023;32;REDE BT AEREA                     ;11968.029338;3.128125;11971.157463
31/12/2024;32;REDE BT AEREA                     ;12115.58382;3.12489;12118.70871
31/12/2020;369;REDE BT AEREA                     ;6839.626318;412.483809;7252.110127
31/12/2021;369;REDE BT AEREA                     ;7218.950603;106.254278;7325.204881
31/12/2022;369;REDE BT AEREA                     ;7534.532069;110.298774;7644.830843
31/12/2023;369;REDE BT AEREA                     ;8127.089301;42.440931;8169.530232
31/12/2024;369;REDE BT AEREA                     ;8569.485328;43.469805;8612.955133
31/12/2020;404;REDE BT AEREA                     ;14688.5705;125.345629;14813.916129
31/12/2021;404;REDE BT AEREA                     ;16188.058391;89.477387;16277.535778
31/12/2022;404;REDE BT AEREA                     ;16386.314363;47.871375;16434.185738
31/12/2023;404;REDE BT AEREA                     ;16426.070375;45.027586;16471.097961
31/12/2024;404;REDE BT AEREA                     ;15412.682495;45.292622;15457.975117
31/12/2020;405;REDE BT AEREA                     ;14534.605194;2709.735931;17244.341125
31/12/2021;405;REDE BT AEREA                     ;14616.118522;2927.208102;17543.326624
31/12/2022;405;REDE BT AEREA                     ;15040.336579;3006.534141;18046.87072
31/12/2023;405;REDE BT AEREA                     ;14888.371094;3020.316442;17908.687536
31/12/2024;405;REDE BT AEREA                     ;15528.858311;3014.311448;18543.169759
31/12/2020;5216;REDE BT AEREA                     ;9430.524519;28.844458;9459.368977
31/12/2021;5216;REDE BT AEREA                     ;9744.050935;45.872885;9789.92382
31/12/2022;5216;REDE BT AEREA                     ;9812.151732;61.800587;9873.952319
31/12/2023;5216;REDE BT AEREA                     ;10279.040208;55.431759;10334.471967
31/12/2024;5216;REDE BT AEREA                     ;10519.714204;59.744126;10579.45833
31/12/2020;6585;REDE BT AEREA                     ;4194.558227;10.719417;4205.277644
31/12/2021;6585;REDE BT AEREA                     ;4216.045569;11.498698;4227.544267
31/12/2022;6585;REDE BT AEREA                     ;5111.705104;6.905198;5118.610302
31/12/2023;6585;REDE BT AEREA                     ;5165.432915;3.883424;5169.316339
31/12/2024;6585;REDE BT AEREA                     ;5193.125134;5.568;5198.693134
31/12/2020;6587;REDE BT AEREA                     ;8059.922047;225.981769;8285.903816
31/12/2021;6587;REDE BT AEREA                     ;8156.388619;205.341828;8361.730447
31/12/2022;6587;REDE BT AEREA                     ;8240.921895;111.564376;8352.486271
31/12/2023;6587;REDE BT AEREA                     ;8359.643572;112.956488;8472.60006
31/12/2024;6587;REDE BT AEREA                     ;8469.145801;151.432619;8620.57842
31/12/2020;6600;REDE BT AEREA                     ;34321.47785;237.778356;34559.256206
31/12/2021;6600;REDE BT AEREA                     ;34432.121852;232.170177;34664.292029
